ingreso_Max_Sum;retiro_Max_Sum;suspension_temporal_Max_Sum;incapacidas_por_trabajo_Max_Sum;vacaciones_Max_Sum;cot_obligatoria_salud_Max_Sum;cot_obligatoria_salud_Max_Count;aporte_cot_obligatoria_pension_Max_Sum;aporte_cot_obligatoria_pension_Max_Count;variacion_transitoria_salario_Max_Sum;variacion_permanente_salario_Max_Sum;licencia_maternidad_Max_Sum;cot_obligatoria_arl_Max_Sum;cot_obligatoria_arl_Max_Count;valor_aportes_ccf_Max_Sum;valor_aportes_ccf_Max_Count;valor_aportes_parafiscales_sena_Max_Sum;valor_aportes_parafiscales_sena_Max_Count;valor_aportes_parafiscales_icbf_Max_Sum;valor_aportes_parafiscales_icbf_Max_Count;Tipologia;Edad_fin;Sexo_fin;YEAR;MONTH;Contribuye_salud_Sum;Contribuye_pension_Sum;Contribuye_arl_Sum;Contribuye_ccf_Sum;Contribuye_sena_Sum;Contribuye_icbf_Sum;Total_relaciones_laborales
1281;1066;61;16;4;160331900;4175;429981100;4175;551;48;31;81453210;4175;112776800;4175;6800700;4175;11088600;4175;"Dep_sec_priv";;;2019;7;4080;3373;4089;4021;304;346;4175
1313;983;62;7;6;161650100;4135;429154300;4135;496;56;26;82613910;4135;113831400;4135;6982400;4135;11159700;4135;"Dep_sec_priv";;;2019;8;4048;3344;4062;4005;306;338;4135
210;178;5;0;0;19046300;820;17844300;820;9;3;0;8336400;820;4530500;820;723900;820;2226800;820;"Dep_No_priv";;;2019;5;161;146;759;151;35;37;820
185;113;0;0;1;18866800;746;16238000;746;7;2;4;8165900;746;5539600;746;1352800;746;3032000;746;"Dep_No_priv";;;2019;7;152;131;688;141;34;38;746
177;166;0;0;0;18783700;773;18202400;773;8;7;3;8321500;773;4867000;773;786500;773;2385900;773;"Dep_No_priv";;;2019;6;158;139;716;150;39;43;773
214;92;0;0;0;15182200;795;13991800;795;9;0;1;8127100;795;3898900;795;496700;795;1752600;795;"Dep_No_priv";;;2019;8;138;128;729;140;29;33;795
19;15;1;1;0;4493800;211;12079100;211;29;0;1;2909800;211;6364600;211;664500;211;4753100;211;"Dep_No_priv";121;"M";2019;5;30;18;183;40;33;39;211
34;8;0;2;0;4736100;244;13728500;244;29;0;5;3895700;244;6866000;244;684600;244;5091400;244;"Dep_No_priv";121;"M";2019;8;28;22;219;44;33;39;244
30;14;0;0;0;4375600;226;12658100;226;30;1;23;3016900;226;7223100;226;756900;226;5374600;226;"Dep_No_priv";121;"M";2019;7;30;20;199;44;33;39;226
87;76;8;1;0;46426300;478;85793900;478;119;10;10;18967000;478;24415200;478;4260400;478;6490000;478;"Dep_sec_priv";121;"M";2019;8;476;345;474;473;44;48;478
105;80;11;2;1;41511200;486;79439200;486;111;14;19;17664910;486;23288400;486;3751500;486;5651000;486;"Dep_sec_priv";121;"M";2019;7;481;347;481;479;43;44;486
10623;3447;39;42;93;1186104900;35826;605842500;35826;1503;205;102;413338500;35826;191955000;35826;29465100;35826;107169600;35826;"Dep_No_priv";22;"F";2019;8;11863;3527;33303;3295;1497;1556;35826
16;11;2;1;1;3814400;87;11090600;87;19;3;1;1260500;87;3226900;87;17200;87;25800;87;"Dep_sec_priv";121;"F";2019;5;85;57;84;84;2;2;87
8361;3345;37;30;102;1277322000;31698;991342800;31698;2044;209;144;394717600;31698;284035900;31698;50786500;31698;159840700;31698;"Dep_No_priv";23;"F";2019;8;11281;4796;29088;4477;2292;2410;31698
6232;5411;40;9;100;1263413000;28602;958436100;28602;2468;398;723;339086600;28602;300394100;28602;51588000;28602;171569100;28602;"Dep_No_priv";23;"F";2019;7;12130;5060;26120;4858;2566;2668;28602
4;5;1;0;0;5750700;73;3451400;73;8;1;2;1024000;73;3519600;73;440800;73;661000;73;"Dep_sec_priv";91;"M";2019;7;73;20;72;72;8;8;73
11082;9048;2788;221;1179;4942519900;98311;15704719300;98311;41990;2217;4438;1399135240;98311;3918746800;98311;187509900;98311;284699800;98311;"Dep_sec_priv";23;"F";2019;8;98149;92123;96624;96972;8217;8362;98311
8345;7283;2152;131;557;2515372700;59411;8268415900;59411;27404;1860;2568;723802600;59411;2062290700;59411;74113800;59411;113324700;59411;"Dep_sec_priv";21;"F";2019;7;59266;55435;58583;58655;3786;3874;59411
8444;6793;2077;159;575;2601605000;60882;8523986200;60882;27678;1469;2275;750050280;60882;2124567200;60882;78151300;60882;119253900;60882;"Dep_sec_priv";21;"F";2019;8;60742;56684;60009;60094;3928;4015;60882
1642;943;0;1;3;1202280600;11788;1467008700;11788;185;139;0;115879000;11788;8386100;11788;17900;11788;26700;11788;"Independiente";23;"F";2019;7;11250;10708;9299;568;2;2;11788
11792;11335;2775;791;118;14210125400;134224;36794004000;134224;57348;3385;9208;6750574220;134224;9218137700;134224;1131708500;134224;1707424700;134224;"Dep_sec_priv";39;"M";2019;7;133765;125221;132452;132500;12577;12825;134224
775;838;131;27;21;4005018500;15532;6599934600;15532;8541;455;3396;764744500;15532;1893923900;15532;447620100;15532;1356992800;15532;"Dep_No_priv";39;"M";2019;7;11138;11295;10667;12630;9667;10911;15532
1246;724;114;66;17;3930847400;15936;6513682700;15936;8367;180;673;747838100;15936;1663355200;15936;389241000;15936;1183573600;15936;"Dep_No_priv";39;"M";2019;8;11364;11529;11025;12807;9641;11075;15936
10731;10407;3003;324;1865;7956440700;127205;24056211800;127205;51016;3052;6474;2230898000;127205;6012832500;127205;379237300;127205;571496800;127205;"Dep_sec_priv";26;"F";2019;5;127011;117935;124705;125335;13192;13283;127205
8;5;0;0;0;92753800;729;584800;729;4;1;0;927100;729;32900;729;0;729;0;729;"Independiente";91;"M";2019;5;726;3;34;3;0;0;729
4;5;0;0;0;89507200;702;584800;702;0;2;0;408400;702;33200;702;0;702;0;702;"Independiente";91;"M";2019;8;701;3;29;2;0;0;702
1;5;0;0;0;91931400;721;584800;721;4;0;0;442300;721;33200;721;0;721;0;721;"Independiente";91;"M";2019;6;718;3;34;2;0;0;721
3;7;0;0;0;88628600;715;584800;715;2;1;0;418700;715;33200;715;0;715;0;715;"Independiente";91;"M";2019;7;714;3;30;2;0;0;715
11;6;3;0;1;28963900;119;13271200;119;12;2;3;2624300;119;14742200;119;5093100;119;7708600;119;"Dep_sec_priv";89;"M";2019;8;118;37;112;114;25;27;119
4;5;3;0;1;25772300;106;7969700;106;9;1;2;2371300;106;13520200;106;4627600;106;7010400;106;"Dep_sec_priv";89;"M";2019;6;105;28;99;101;22;24;106
3;5;3;0;0;26769400;110;8995300;110;13;1;2;2438700;110;13706900;110;4797500;110;7196000;110;"Dep_sec_priv";89;"M";2019;5;109;31;103;105;25;25;110
8;5;3;0;0;28644200;113;11942800;113;10;4;3;2332400;113;14382300;113;5068100;113;7696800;113;"Dep_sec_priv";89;"M";2019;7;111;33;107;107;24;27;113
2;1;0;0;0;13147100;87;357600;87;0;0;0;17600;87;16600;87;0;87;0;87;"Independiente";98;"M";2019;5;87;2;4;1;0;0;87
0;0;0;0;0;12662200;82;256000;82;0;0;0;17600;82;16600;82;0;82;0;82;"Independiente";98;"M";2019;6;82;1;4;1;0;0;82
0;0;0;0;0;12351400;79;256000;79;0;0;0;17600;79;16600;79;0;79;0;79;"Independiente";98;"M";2019;7;79;1;4;1;0;0;79
0;0;0;0;0;12351400;79;256000;79;0;0;0;17600;79;16600;79;0;79;0;79;"Independiente";98;"M";2019;8;79;1;4;1;0;0;79
10;6;0;0;0;146302800;1059;927600;1059;5;5;0;968000;1059;272500;1059;0;1059;0;1059;"Independiente";88;"M";2019;7;1057;7;44;18;0;0;1059
8;6;0;0;0;148381600;1073;927600;1073;6;3;0;1090300;1073;272500;1073;0;1073;0;1073;"Independiente";88;"M";2019;5;1069;7;48;18;0;0;1073
11;8;0;0;0;146892700;1052;795100;1052;4;5;0;934500;1052;272500;1052;0;1052;0;1052;"Independiente";88;"M";2019;8;1048;6;47;18;0;0;1052
7;8;0;0;0;149926100;1068;927600;1068;5;5;0;1106900;1068;277500;1068;0;1068;0;1068;"Independiente";88;"M";2019;6;1064;7;48;19;0;0;1068
897;638;51;9;6;160478000;3406;396569900;3406;574;45;36;72642410;3406;106314900;3406;9264800;3406;14650000;3406;"Dep_sec_priv";121;"N";2019;7;3370;2749;3382;3339;268;290;3406
884;663;56;5;6;162567200;3433;412289200;3433;601;42;35;74948300;3433;109957900;3433;9325900;3433;14759900;3433;"Dep_sec_priv";121;"N";2019;8;3396;2796;3410;3371;280;304;3433
