ingreso_Max_Sum;retiro_Max_Sum;suspension_temporal_Max_Sum;incapacidas_por_trabajo_Max_Sum;vacaciones_Max_Sum;cot_obligatoria_salud_Max_Sum;cot_obligatoria_salud_Max_Count;aporte_cot_obligatoria_pension_Max_Sum;aporte_cot_obligatoria_pension_Max_Count;variacion_transitoria_salario_Max_Sum;variacion_permanente_salario_Max_Sum;licencia_maternidad_Max_Sum;cot_obligatoria_arl_Max_Sum;cot_obligatoria_arl_Max_Count;valor_aportes_ccf_Max_Sum;valor_aportes_ccf_Max_Count;valor_aportes_parafiscales_sena_Max_Sum;valor_aportes_parafiscales_sena_Max_Count;valor_aportes_parafiscales_icbf_Max_Sum;valor_aportes_parafiscales_icbf_Max_Count;Tipologia;Edad_fin;Sexo_fin;YEAR;MONTH;Contribuye_salud_Sum;Contribuye_pension_Sum;Contribuye_arl_Sum;Contribuye_ccf_Sum;Contribuye_sena_Sum;Contribuye_icbf_Sum;Total_relaciones_laborales
8315;6435;2184;313;651;1721418600;45248;6205575700;45248;17820;1167;31;1088678800;45248;1512052200;45248;27410200;45248;42008400;45248;"Dep_sec_priv";20;"M";2020;7;44683;41754;44457;44521;1572;1612;45248
1850;2060;14;30;40;987158600;14015;149667500;14015;448;206;5;151089200;14015;49500400;14015;5730500;14015;20856800;14015;"Dep_No_priv";20;"M";2020;7;10030;1122;11305;1095;302;304;14015
8503;6802;2226;314;673;1831913200;47734;6588138400;47734;19160;886;18;1177711600;47734;1613087300;47734;28717400;47734;44169500;47734;"Dep_sec_priv";20;"M";2020;8;47251;44027;47063;47071;1631;1675;47734
4450;5698;4186;443;4933;10953798700;102757;27776550200;102757;34449;2637;1419;2345385600;102757;6802136700;102757;856607100;102757;1289905300;102757;"Dep_sec_priv";34;"F";2020;6;101163;94577;98463;99946;14770;14888;102757
1;0;0;0;0;414700;8;1141500;8;0;0;0;54200;8;321000;8;0;8;0;8;"Dep_sec_priv";106;"M";2020;8;8;4;7;7;0;0;8
9847;9654;4338;827;4112;13908225100;128589;36583574000;128589;50985;2362;117;6344429400;128589;9083641350;128589;1085542300;128589;1635495200;128589;"Dep_sec_priv";39;"M";2020;8;127248;119055;125728;126455;11012;11188;128589
10152;8853;8230;692;8972;12841294900;132905;17970250400;132905;51379;3745;287;5720052400;132905;8692260900;132905;902431000;132905;1360386500;132905;"Dep_sec_priv";36;"M";2020;5;130043;124419;127685;129209;10736;10918;132905
5175;5513;3225;510;3236;10176913000;82480;23832399200;82480;28555;1522;15;4110127600;82480;5915485900;82480;994165900;82480;1498128100;82480;"Dep_sec_priv";50;"M";2020;6;81149;75684;79499;80284;8591;8732;82480
3;1;0;0;0;78306600;620;151900;620;1;1;0;209400;620;75700;620;0;620;0;620;"Independiente";92;"M";2020;5;620;4;25;5;0;0;620
2;7;0;0;0;75614600;596;568800;596;2;1;0;234700;596;81000;596;0;596;0;596;"Independiente";92;"M";2020;8;596;2;23;6;0;0;596
2;4;0;0;0;79958100;610;709300;610;2;2;0;248500;610;81000;610;0;610;0;610;"Independiente";92;"M";2020;7;610;3;24;6;0;0;610
6;4;0;0;0;77530300;611;709300;611;2;1;0;239600;611;75700;611;0;611;0;611;"Independiente";92;"M";2020;6;611;3;23;5;0;0;611
4;4;4;0;1;20521100;85;3958500;85;3;0;0;2683600;85;7805500;85;2484500;85;3780200;85;"Dep_sec_priv";90;"M";2020;6;84;17;77;80;15;17;85
6;8;3;0;2;21316700;90;1817400;90;4;1;0;2751900;90;8634000;90;2729100;90;4129500;90;"Dep_sec_priv";90;"M";2020;5;89;15;81;86;17;18;90
8;6;3;0;1;23283600;87;4309500;87;6;1;0;3059000;87;8758100;87;3189700;87;4846900;87;"Dep_sec_priv";90;"M";2020;7;86;17;78;82;16;18;87
2;3;5;0;1;21500800;83;4432300;83;6;1;0;2990600;83;7752500;83;2839000;83;4258500;83;"Dep_sec_priv";90;"M";2020;8;82;15;72;77;15;15;83
2;2;0;0;0;779200;6;315700;6;0;0;0;36300;6;304400;6;111800;6;167700;6;"Dep_sec_priv";110;"M";2020;5;5;4;5;6;1;1;6
3979;5131;4007;435;4696;11895657200;98848;28122980200;98848;32057;2264;836;2342411300;98848;6898504600;98848;1058554800;98848;1592745200;98848;"Dep_sec_priv";38;"F";2020;6;97253;91498;94964;96269;15768;15891;98848
6933;6321;4034;659;3952;9926148700;118583;28440684000;118583;41828;2981;1964;2536556200;118583;6999977800;118583;573387900;118583;865253000;118583;"Dep_sec_priv";30;"F";2020;8;117379;108899;114504;115917;13688;13818;118583
1918;1128;171;31;366;3817993000;19516;5575694400;19516;6970;145;242;433851800;19516;1503630500;19516;309258700;19516;1001807000;19516;"Dep_No_priv";34;"F";2020;8;13989;13799;11516;12958;9921;10648;19516
1;2;0;0;0;1112000;7;166700;7;0;0;0;63500;7;359900;7;159800;7;239700;7;"Dep_sec_priv";104;"M";2020;7;7;3;7;7;1;1;7
10456;10016;4223;746;4049;13196750300;129761;35931373900;129761;52496;2507;171;6231193500;129761;8904256750;129761;957257000;129761;1441493400;129761;"Dep_sec_priv";37;"M";2020;8;128391;120373;127129;127690;10503;10662;129761
9234;9493;5273;655;5251;13526674200;127756;35645701400;127756;49278;3060;130;5981052700;127756;8730762700;127756;1039599500;127756;1566930700;127756;"Dep_sec_priv";37;"M";2020;6;125747;118967;124045;124950;11075;11235;127756
960;1101;192;19;908;4017685500;15468;6478630300;15468;7578;160;21;658802900;15468;1820705900;15468;399919800;15468;1293057500;15468;"Dep_No_priv";37;"M";2020;6;11570;11526;9742;11441;8470;9721;15468
8159;7689;4759;686;4252;8345602600;119735;25042249100;119735;41927;3858;1865;2272030300;119735;6129395350;119735;408761800;119735;618373800;119735;"Dep_sec_priv";27;"F";2020;7;117969;109227;114869;116412;12084;12248;119735
6841;7361;5823;544;4706;8554245000;118751;25351342600;118751;40635;3158;1838;2224035200;118751;6176310900;118751;453282500;118751;684221800;118751;"Dep_sec_priv";27;"F";2020;6;116451;108742;113352;114990;12506;12639;118751
5225;7084;7937;455;8002;8095237500;118814;12151742400;118814;38969;3670;1947;2089759600;118814;5924705700;118814;413746400;118814;625674700;118814;"Dep_sec_priv";27;"F";2020;5;115257;109342;111386;113782;12280;12448;118814
7976;7129;4389;678;3618;8492907600;120184;25442398800;120184;42921;2846;1905;2337944800;120184;6266606300;120184;421310100;120184;637789800;120184;"Dep_sec_priv";27;"F";2020;8;118829;109545;115936;117334;12209;12370;120184
3;2;0;0;0;2053800;9;2508100;9;1;1;0;371900;9;1187200;9;235200;9;352800;9;"Dep_sec_priv";103;"M";2020;8;9;7;9;9;3;3;9
3;2;0;0;1;921900;10;3541100;10;3;0;0;375100;10;858000;10;0;10;0;10;"Dep_sec_priv";103;"M";2020;7;10;8;10;10;0;0;10
1;2;1;0;1;981800;13;1022100;13;2;0;0;216900;13;558800;13;80400;13;120600;13;"Dep_sec_priv";99;"M";2020;8;13;8;12;13;2;2;13
4681;6464;7171;398;8534;9565332000;118376;14453700500;118376;38813;3649;2058;2308631900;118376;6715749800;118376;560759200;118376;846787300;118376;"Dep_sec_priv";30;"F";2020;5;115292;109557;111443;113841;13866;14024;118376
12531;11813;6646;699;3524;6019298700;122869;21344533000;122869;51140;2607;143;3497237800;122869;5171516500;122869;141725500;122869;216926500;122869;"Dep_sec_priv";24;"M";2020;6;120668;115727;119607;120110;5192;5340;122869
11323;10710;9125;584;6175;5761580400;120563;9014664500;120563;49213;2957;237;3214621700;120563;4945148500;120563;137012000;120563;209717100;120563;"Dep_sec_priv";24;"M";2020;5;117209;114231;115350;116628;5181;5337;120563
14903;13116;6021;793;3526;6136681300;126497;21778756300;126497;54226;3612;174;3639671300;126497;5311974800;126497;138188100;126497;211216500;126497;"Dep_sec_priv";24;"M";2020;7;124801;118863;123870;124238;5204;5348;126497
1878;1356;1;2;1;3075751000;21740;1856121100;21740;593;482;0;350973800;21740;35915400;21740;394000;21740;661300;21740;"Independiente";35;"M";2020;5;19798;18326;13209;1889;3;4;21740
1;0;0;0;0;76900;1;0;1;0;1;0;15000;1;0;1;0;1;0;1;"Dep_No_priv";115;"M";2020;8;1;0;1;0;0;0;1
15407;14508;6479;1037;4375;9478044400;157832;31991110400;157832;66927;3276;207;5383329000;157832;7859758950;157832;300213200;157832;455403800;157832;"Dep_sec_priv";27;"M";2020;8;156182;146657;154862;155338;7804;7985;157832
1;0;0;0;0;647800;7;5816300;7;3;1;0;41400;7;563100;7;1244900;7;2183900;7;"Dep_No_priv";101;"M";2020;7;3;2;2;3;5;5;7
4747;4472;3107;634;3271;10912914600;98127;27325489100;98127;33199;2230;1007;2393812000;98127;6735396000;98127;882019300;98127;1330953000;98127;"Dep_sec_priv";37;"F";2020;8;97138;90432;95038;96092;14498;14649;98127
1329;1015;1;0;0;2687999900;21204;1519350600;21204;452;470;15;224497500;21204;34696500;21204;250600;21204;375800;21204;"Independiente";28;"F";2020;5;20415;19178;14516;2004;2;2;21204
2010;1531;1;1;0;3233202300;22638;3944708900;22638;725;589;2;393949800;22638;40033700;22638;582300;22638;1043800;22638;"Independiente";36;"M";2020;6;20415;18891;13835;2086;3;4;22638
2;1;1;0;0;1133600;7;393700;7;0;0;0;65200;7;421500;7;159800;7;239700;7;"Dep_sec_priv";104;"M";2020;8;7;4;7;7;1;1;7
3;3;0;1;0;1109900;7;322600;7;0;0;0;124100;7;397700;7;159800;7;239700;7;"Dep_sec_priv";104;"M";2020;6;7;4;7;6;1;1;7
0;0;0;0;0;1220800;5;198400;5;0;0;0;162200;5;467200;5;177400;5;266100;5;"Dep_sec_priv";104;"M";2020;5;5;3;5;5;2;2;5
2;3;1;1;1;924900;13;784800;13;3;1;0;184900;13;526400;13;80400;13;120600;13;"Dep_sec_priv";99;"M";2020;7;13;6;11;13;2;2;13
14726;13762;6432;950;5466;11115415300;157416;35761114100;157416;65048;4906;277;6065071500;157416;8762575050;157416;462429100;157416;698678500;157416;"Dep_sec_priv";30;"M";2020;7;155530;146705;153727;154456;8768;8907;157416
7;5;3;0;1;13771400;59;12577100;59;7;1;0;2937500;59;5286300;59;1616300;59;2424400;59;"Dep_sec_priv";93;"M";2020;7;56;23;57;56;11;11;59
11024;11209;5999;695;5322;12374807300;138945;35327804300;138945;54713;3163;193;5883424000;138945;8618849400;138945;791296700;138945;1194224800;138945;"Dep_sec_priv";33;"M";2020;6;136667;129725;135011;135850;10332;10503;138945
10271;9189;8393;679;9273;12496451100;134635;17756646600;134635;51882;3781;251;5669634800;134635;8599339100;134635;833198400;134635;1256926900;134635;"Dep_sec_priv";35;"M";2020;5;131683;126167;129339;130839;10451;10626;134635
2;4;0;0;0;93850600;730;438800;730;3;2;0;423100;730;613500;730;0;730;0;730;"Independiente";91;"M";2020;5;729;3;21;12;0;0;730
5;6;0;0;0;93164200;719;667000;719;4;2;0;423100;719;613500;719;0;719;0;719;"Independiente";91;"M";2020;6;718;3;21;12;0;0;719
4;8;0;0;0;93375700;692;526500;692;4;2;0;385600;692;612500;692;0;692;0;692;"Independiente";91;"M";2020;8;691;2;20;12;0;0;692
3;6;0;0;0;93818400;708;526500;708;4;2;0;397100;708;613500;708;0;708;0;708;"Independiente";91;"M";2020;7;707;2;20;12;0;0;708
3572;4747;5556;411;7215;10688776400;98878;14737177700;98878;31355;2955;1157;2217148100;98878;6577050100;98878;867940100;98878;1309232700;98878;"Dep_sec_priv";37;"F";2020;5;96463;91754;93534;95402;14769;14928;98878
