ingreso_Max_Sum;retiro_Max_Sum;suspension_temporal_Max_Sum;incapacidas_por_trabajo_Max_Sum;vacaciones_Max_Sum;cot_obligatoria_salud_Max_Sum;cot_obligatoria_salud_Max_Count;aporte_cot_obligatoria_pension_Max_Sum;aporte_cot_obligatoria_pension_Max_Count;variacion_transitoria_salario_Max_Sum;variacion_permanente_salario_Max_Sum;licencia_maternidad_Max_Sum;cot_obligatoria_arl_Max_Sum;cot_obligatoria_arl_Max_Count;valor_aportes_ccf_Max_Sum;valor_aportes_ccf_Max_Count;valor_aportes_parafiscales_sena_Max_Sum;valor_aportes_parafiscales_sena_Max_Count;valor_aportes_parafiscales_icbf_Max_Sum;valor_aportes_parafiscales_icbf_Max_Count;Tipologia;Edad_fin;Sexo_fin;YEAR;MONTH;Contribuye_salud_Sum;Contribuye_pension_Sum;Contribuye_arl_Sum;Contribuye_ccf_Sum;Contribuye_sena_Sum;Contribuye_icbf_Sum;Total_relaciones_laborales
2290;1586;5;2;2;273708900;20592;93513300;20592;66;101;0;183288500;20592;59960600;20592;24019700;20592;41835000;20592;"Dep_No_priv";;;2021;10;2335;396;19458;482;104;116;20592
1953;10241;4;5;1;304676000;19497;95361800;19497;61;90;0;176684400;19497;61586000;19497;24206300;19497;41864500;19497;"Dep_No_priv";;;2021;11;2711;472;18174;521;99;110;19497
4886;3176;325;45;75;653166000;13158;1628509000;13158;2305;228;11;307162200;13158;443624700;13158;46642600;13158;71181400;13158;"Dep_sec_priv";;;2021;10;12866;10516;13052;12853;810;853;13158
7347;3961;511;46;66;763915700;16687;1942647500;16687;3426;374;4;361153700;16687;528638500;16687;51473900;16687;78283100;16687;"Dep_sec_priv";;;2021;11;16417;13560;16551;16383;871;919;16687
10;9;2;0;2;12937400;75;3796000;75;3;0;0;1754400;75;5760200;75;1148400;75;1722400;75;"Dep_sec_priv";91;"M";2021;9;73;20;71;70;7;7;75
934;607;0;0;0;156505400;2687;180414100;2687;20;9;0;61656900;2687;1075500;2687;9100;2687;13700;2687;"Independiente";;;2021;11;1415;1127;1919;71;1;1;2687
2;2;0;0;0;1774100;14;3589500;14;3;0;0;372900;14;1122100;14;251600;14;377400;14;"Dep_sec_priv";105;"M";2021;11;14;10;14;14;2;2;14
11647;11338;3483;892;6003;15627083600;137897;41252800600;137897;58896;2791;188;7279764600;137897;10392330300;137897;1226882000;137897;1849427200;137897;"Dep_sec_priv";38;"M";2021;10;137369;127597;136279;136652;11268;11443;137897
9623;10030;2994;866;4847;16137967200;126955;40028989700;126955;52634;1952;84;7310688000;126955;10091182400;126955;1417891900;126955;2138546500;126955;"Dep_sec_priv";42;"M";2021;11;126426;116791;125202;125644;11857;12041;126955
2;0;0;0;0;273100;5;1737500;5;0;0;0;312900;5;9100;5;0;5;319000;5;"Dep_No_priv";110;"M";2021;10;2;2;4;1;0;1;5
2;5;0;0;0;68236100;490;145400;490;2;2;0;280000;490;216800;490;0;490;0;490;"Independiente";93;"M";2021;9;486;1;18;7;0;0;490
