ingreso_Max_Sum;retiro_Max_Sum;suspension_temporal_Max_Sum;incapacidas_por_trabajo_Max_Sum;vacaciones_Max_Sum;cot_obligatoria_salud_Max_Sum;cot_obligatoria_salud_Max_Count;aporte_cot_obligatoria_pension_Max_Sum;aporte_cot_obligatoria_pension_Max_Count;variacion_transitoria_salario_Max_Sum;variacion_permanente_salario_Max_Sum;licencia_maternidad_Max_Sum;cot_obligatoria_arl_Max_Sum;cot_obligatoria_arl_Max_Count;valor_aportes_ccf_Max_Sum;valor_aportes_ccf_Max_Count;valor_aportes_parafiscales_sena_Max_Sum;valor_aportes_parafiscales_sena_Max_Count;valor_aportes_parafiscales_icbf_Max_Sum;valor_aportes_parafiscales_icbf_Max_Count;Tipologia;Edad_fin;Sexo_fin;YEAR;MONTH;Contribuye_salud_Sum;Contribuye_pension_Sum;Contribuye_arl_Sum;Contribuye_ccf_Sum;Contribuye_sena_Sum;Contribuye_icbf_Sum;Total_relaciones_laborales
381;554;0;0;0;69090000;2233;44796300;2233;10;3;0;74940900;2233;485700;2233;0;2233;0;2233;"Independiente";;;2020;3;562;304;1889;37;0;0;2233
3025;4671;22;34;221;1198910500;20380;164902400;20380;636;226;4;252128900;20380;68480200;20380;8408500;20380;32933700;20380;"Dep_No_priv";20;"M";2020;3;11854;1331;17723;1474;475;488;20380
9010;12717;3765;353;7869;2122064700;56513;7689378100;56513;24559;1359;38;1252889050;56513;1902667300;56513;36663500;56513;56243800;56513;"Dep_sec_priv";20;"M";2020;3;56281;53072;56042;56131;1989;2050;56513
12653;8450;2383;741;15160;12399915000;101546;29870856200;101546;40851;33703;58;5177381600;101546;7429663400;101546;1118062300;101546;1686632300;101546;"Dep_sec_priv";44;"M";2020;1;101237;94012;100109;100438;10189;10395;101546
12322;7891;2807;563;19229;10660191700;111297;28776851200;111297;44195;40039;1670;2513365600;111297;7058206900;111297;697508300;111297;1052416900;111297;"Dep_sec_priv";33;"F";2020;1;111088;103162;108482;109710;12972;13126;111297
7171;10099;3949;537;19920;11879828000;114523;30411040900;114523;44700;3969;1589;2620315714;114523;7476500200;114523;851995400;114523;1284836500;114523;"Dep_sec_priv";33;"F";2020;3;114303;105877;111891;113092;15335;15514;114523
11129;7665;2303;569;4804;11130155900;114757;29590140800;114757;45380;7201;1606;2717110480;114757;7332311800;114757;763719200;114757;1153126300;114757;"Dep_sec_priv";33;"F";2020;2;114529;106329;112465;113428;14722;14911;114757
3483;6366;7160;370;28465;10827081700;108054;15883501800;108054;37289;3962;1703;2062360700;108054;6919517500;108054;777578900;108054;1172272100;108054;"Dep_sec_priv";33;"F";2020;4;106594;100276;99806;105191;14626;14788;108054
5697;8227;3225;469;17219;12482558800;100069;28791096600;100069;36559;3187;496;2413250642;100069;7089903600;100069;1093039200;100069;1645897900;100069;"Dep_sec_priv";40;"F";2020;3;99865;92739;98240;99121;16220;16390;100069
3252;5104;5975;328;24402;11486392300;95140;15575205300;95140;30580;3161;642;1896870000;95140;6625041500;95140;1018443000;95140;1533546900;95140;"Dep_sec_priv";40;"F";2020;4;93938;88624;88480;93091;15609;15772;95140
13962;12494;2943;966;5216;14282074500;138811;38402948500;138811;60533;7585;158;7028771440;138811;9591705600;138811;1046186300;138811;1577664500;138811;"Dep_sec_priv";37;"M";2020;2;138443;129770;137452;137760;11824;12034;138811
18596;12493;3697;869;19967;14129524100;136976;37973370200;136976;59179;45574;157;6647509263;136976;9387760900;136976;1021838000;136976;1541596400;136976;"Dep_sec_priv";37;"M";2020;1;136598;128106;135340;135777;11296;11517;136976
110;129;13;3;8;40072200;505;92787100;505;171;13;0;22019200;505;24753500;505;3179900;505;4822700;505;"Dep_sec_priv";121;"M";2020;2;499;422;500;497;33;35;505
126;114;20;3;25;35133700;525;87579700;525;186;154;2;20641600;525;23727000;525;2390000;525;3610900;525;"Dep_sec_priv";121;"M";2020;1;520;441;523;519;30;31;525
1;1;0;0;0;366400;6;1542200;6;1;0;0;398100;6;363900;6;600;6;900;6;"Dep_sec_priv";108;"M";2020;2;6;6;6;6;1;1;6
5085;8034;9875;524;33874;13487806900;127956;19391942600;127956;51014;3820;437;4717740800;127956;8823639400;127956;996078500;127956;1500576300;127956;"Dep_sec_priv";36;"M";2020;4;125494;120370;118055;124681;10819;11001;127956
4700;7290;8719;558;31076;13999529700;119124;18995832900;119124;46030;3332;343;4646152250;119124;8620749600;119124;1190222200;119124;1794773300;119124;"Dep_sec_priv";40;"M";2020;4;116860;111507;109859;115980;11643;11818;119124
8956;15633;5104;877;22594;15264272500;129680;37949104800;129680;54925;3918;123;6437533600;129680;9511076700;129680;1290400100;129680;1944423900;129680;"Dep_sec_priv";40;"M";2020;3;129236;120527;127925;128540;12594;12788;129680
5;2;0;0;0;94230700;707;1740500;707;5;6;0;683900;707;572100;707;0;707;0;707;"Independiente";91;"M";2020;2;706;2;21;10;0;0;707
5;6;0;0;0;89001600;688;1686000;688;5;2;0;671500;688;574000;688;0;688;0;688;"Independiente";91;"M";2020;4;687;3;24;10;0;0;688
1;4;0;0;0;95043400;720;1881000;720;4;114;0;797000;720;547200;720;0;720;0;720;"Independiente";91;"M";2020;1;716;3;23;10;0;0;720
6;3;0;0;0;93543700;698;2644200;698;5;2;0;700500;698;574000;698;0;698;0;698;"Independiente";91;"M";2020;3;697;2;24;10;0;0;698
7;3;4;0;9;15373300;115;8134700;115;12;4;0;1823300;115;7938100;115;1179800;115;1805400;115;"Dep_sec_priv";89;"M";2020;3;115;33;109;110;13;14;115
3;3;3;0;10;14669000;109;4002000;109;9;2;0;1973200;109;7212600;109;1072400;109;1644300;109;"Dep_sec_priv";89;"M";2020;4;108;29;100;104;13;14;109
8;9;2;0;13;15134600;120;9577500;120;10;31;0;2291100;120;8606700;120;835200;120;1314900;120;"Dep_sec_priv";89;"M";2020;1;119;31;114;113;12;14;120
6;6;3;0;1;15710400;114;8248100;114;13;5;0;2092600;114;8264400;114;1091200;114;1672600;114;"Dep_sec_priv";89;"M";2020;2;114;30;110;110;12;13;114
0;2;0;0;0;8578600;55;26400;55;0;0;0;57100;55;0;55;0;55;0;55;"Independiente";99;"M";2020;4;53;1;5;0;0;0;55
2;2;0;0;0;12452300;60;140500;60;1;14;0;46600;60;0;60;0;60;0;60;"Independiente";99;"M";2020;1;58;1;6;0;0;0;60
0;1;0;0;0;8664200;55;0;55;0;0;0;63500;55;0;55;0;55;0;55;"Independiente";99;"M";2020;3;53;0;5;0;0;0;55
1;1;0;0;0;8922800;58;0;58;0;2;0;61000;58;0;58;0;58;0;58;"Independiente";99;"M";2020;2;56;0;5;0;0;0;58
2;5;2;0;0;26038500;85;6242600;85;5;3;0;3527400;85;13768600;85;5571100;85;8392400;85;"Dep_sec_priv";90;"M";2020;2;84;19;83;83;20;21;85
7;9;4;0;7;28101200;94;9237400;94;14;19;0;4056600;94;14633200;94;5778400;94;8667500;94;"Dep_sec_priv";90;"M";2020;1;93;26;91;90;21;21;94
2;4;3;0;6;20065400;80;2212400;80;6;0;0;3207700;80;9642300;80;3315800;80;4973500;80;"Dep_sec_priv";90;"M";2020;4;79;15;76;78;19;19;80
7;4;3;0;5;23419600;82;3300400;82;6;2;0;3149500;82;12455300;82;4880300;82;7320400;82;"Dep_sec_priv";90;"M";2020;3;81;17;79;80;20;20;82
3088;1757;0;1;0;3545397900;24526;4302205000;24526;1017;1031;0;436090400;24526;44078100;24526;156600;24526;549600;24526;"Independiente";38;"M";2020;2;22350;20500;14004;2276;5;7;24526
9561;16688;5517;922;24191;15596402600;137790;39984135300;137790;59689;4109;151;6720813800;137790;9973634000;137790;1238459700;137790;1868383400;137790;"Dep_sec_priv";38;"M";2020;3;137358;128512;135992;136616;12474;12708;137790
13923;12206;2897;1010;5274;14958737700;140075;39491864800;140075;60564;7626;171;7198728860;140075;9860351500;140075;1140944100;140075;1722293700;140075;"Dep_sec_priv";38;"M";2020;2;139658;130750;138555;138915;12343;12574;140075
14;5;1;0;12;16574600;89;10737200;89;7;23;1;2549200;89;7662400;89;1851400;89;2776800;89;"Dep_sec_priv";91;"M";2020;1;89;27;86;87;15;15;89
755;447;190;15;3207;3669576600;14370;4900335300;14370;7192;368;15;616571200;14370;1514271900;14370;333931000;14370;1047698300;14370;"Dep_No_priv";37;"M";2020;4;10645;10537;9923;11316;8238;9529;14370
9925;16992;5602;861;24256;14906801600;136574;38838823500;136574;59532;4180;148;6543423400;136574;9677424700;136574;1144436400;136574;1723935900;136574;"Dep_sec_priv";37;"M";2020;3;136177;127570;134922;135489;12034;12216;136574
14944;10822;3135;597;5077;8996433400;131667;27159180700;131667;52940;8115;1962;2540830780;131667;6764992100;131667;422657600;131667;640527800;131667;"Dep_sec_priv";27;"F";2020;2;131472;121716;129230;130191;12755;12955;131667
4399;8318;9132;355;31603;8669035000;122118;13513604000;122118;42218;4269;2119;1900783300;122118;6270505900;122118;442409800;122118;669702400;122118;"Dep_sec_priv";27;"F";2020;4;120162;112990;111985;118449;12793;12981;122118
10087;13833;5291;569;23142;9480600000;131252;27734098000;131252;51638;4612;1972;2419461300;131252;6864429300;131252;477976600;131252;723437100;131252;"Dep_sec_priv";27;"F";2020;3;131021;121102;128247;129543;13368;13581;131252
16315;11481;3868;656;17835;8516182800;127780;26227102300;127780;51411;45525;1955;2386000913;127780;6480315700;127780;362380400;127780;549937100;127780;"Dep_sec_priv";27;"F";2020;1;127578;118219;124739;126023;11037;11231;127780
11110;6733;2491;579;18894;11192701900;103009;28346047200;103009;39717;37210;1103;2420016400;103009;6914551200;103009;832389500;103009;1255565000;103009;"Dep_sec_priv";37;"F";2020;1;102801;95639;100623;101652;13410;13575;103009
25195;17720;5516;1155;20660;11780194900;166178;37614146200;166178;74429;56583;294;6487830663;166178;9297995200;166178;481912500;166178;729511900;166178;"Dep_sec_priv";30;"M";2020;1;165753;155901;164435;164857;9534;9753;166178
9062;5472;1716;541;4048;11689712300;99726;27919573500;99726;37083;5894;490;2494240700;99726;6952132400;99726;1002753100;99726;1510620500;99726;"Dep_sec_priv";40;"F";2020;2;99538;92644;98222;98891;15443;15626;99726
9653;6062;2003;547;4287;11897924600;106182;29300865000;106182;40201;6492;817;2648284800;106182;7295189500;106182;972032400;106182;1464431800;106182;"Dep_sec_priv";38;"F";2020;2;105987;98754;104465;105191;15406;15567;106182
10672;6433;2415;553;19232;11625197400;102815;28726041800;102815;39432;37554;874;2425802239;102815;7042368600;102815;924992000;102815;1392968100;102815;"Dep_sec_priv";38;"F";2020;1;102636;95449;100673;101637;13791;13949;102815
