ingreso_Max_Sum;retiro_Max_Sum;suspension_temporal_Max_Sum;incapacidas_por_trabajo_Max_Sum;vacaciones_Max_Sum;cot_obligatoria_salud_Max_Sum;cot_obligatoria_salud_Max_Count;aporte_cot_obligatoria_pension_Max_Sum;aporte_cot_obligatoria_pension_Max_Count;variacion_transitoria_salario_Max_Sum;variacion_permanente_salario_Max_Sum;licencia_maternidad_Max_Sum;cot_obligatoria_arl_Max_Sum;cot_obligatoria_arl_Max_Count;valor_aportes_ccf_Max_Sum;valor_aportes_ccf_Max_Count;valor_aportes_parafiscales_sena_Max_Sum;valor_aportes_parafiscales_sena_Max_Count;valor_aportes_parafiscales_icbf_Max_Sum;valor_aportes_parafiscales_icbf_Max_Count;Tipologia;Edad_fin;Sexo_fin;YEAR;MONTH;Contribuye_salud_Sum;Contribuye_pension_Sum;Contribuye_arl_Sum;Contribuye_ccf_Sum;Contribuye_sena_Sum;Contribuye_icbf_Sum;Total_relaciones_laborales
1233;1220;2;0;12;150846400;6609;86770300;6609;57;24;0;62393000;6609;46541900;6609;19074800;6609;34268300;6609;"Dep_No_priv";;;2021;6;1205;342;6045;363;90;101;6609
2669;647;2;3;16;168410300;7848;85751700;7848;46;89;0;70888500;7848;53419700;7848;20650300;7848;37133800;7848;"Dep_No_priv";;;2021;7;1542;382;7057;407;91;101;7848
9;8;2;0;3;18812600;86;8095800;86;7;1;0;1882300;86;7633900;86;2033000;86;3049500;86;"Dep_sec_priv";91;"M";2021;8;84;27;80;81;13;13;86
6;3;0;0;0;2463600;11;2659400;11;1;0;0;780500;11;880600;11;356600;11;534900;11;"Dep_sec_priv";116;"M";2021;6;11;9;11;11;4;4;11
3808;2496;269;39;76;521285600;10493;1272242300;10493;1522;196;12;238535200;10493;352113100;10493;36277400;10493;55122100;10493;"Dep_sec_priv";;;2021;7;10131;8193;10388;10117;683;714;10493
2;1;0;0;1;2928100;5;3833000;5;0;1;0;192400;5;994900;5;455100;5;682500;5;"Dep_sec_priv";123;"M";2021;6;5;4;5;5;2;2;5
0;1;0;0;0;932500;6;8734000;6;1;0;0;96300;6;997800;6;1318800;6;2726500;6;"Dep_No_priv";108;"M";2021;6;4;3;4;1;2;3;6
0;0;0;0;2;996500;5;9415800;5;1;0;0;64100;5;694000;5;537900;5;1327300;5;"Dep_No_priv";108;"M";2021;7;4;3;3;1;1;2;5
1;0;0;0;0;861400;6;8701500;6;1;0;0;92400;6;487500;6;928400;6;1758100;6;"Dep_No_priv";108;"M";2021;5;4;3;4;1;2;3;6
0;4;0;0;0;68537000;510;290800;510;2;3;0;278600;510;83800;510;0;510;0;510;"Independiente";93;"M";2021;5;507;2;20;6;0;0;510
3;3;0;0;0;67822600;506;290800;506;1;4;0;278600;506;83800;506;0;506;0;506;"Independiente";93;"M";2021;6;503;2;20;6;0;0;506
5;5;0;0;0;64727600;485;150300;485;2;2;0;223900;485;36400;485;0;485;0;485;"Independiente";93;"M";2021;8;481;2;21;2;0;0;485
8;6;2;0;4;19384100;85;9483200;85;6;2;0;2243600;85;7780600;85;2058000;85;3086700;85;"Dep_sec_priv";91;"M";2021;6;84;24;79;81;13;13;85
12;7;3;0;7;23799700;95;15268900;95;9;1;0;2364600;95;9240700;95;2472800;95;3735600;95;"Dep_sec_priv";91;"M";2021;5;93;28;89;90;15;16;95
8;9;3;0;4;20817300;91;11192500;91;9;1;0;2023600;91;8416900;91;2303600;91;3455100;91;"Dep_sec_priv";91;"M";2021;7;90;29;85;87;14;14;91
2;3;1;0;0;625800;9;2486000;9;1;1;0;111900;9;598200;9;1300;9;1900;9;"Dep_sec_priv";108;"M";2021;5;9;9;9;9;1;1;9
0;0;0;0;0;1241700;4;2009700;4;3;1;0;241900;4;485600;4;165400;4;248100;4;"Dep_sec_priv";108;"M";2021;8;4;3;3;3;1;1;4
4;3;0;0;0;3840900;22;5154500;22;2;0;0;1152500;22;1704100;22;500900;22;751400;22;"Dep_sec_priv";98;"M";2021;8;21;11;22;21;6;6;22
2190;2010;300;32;131;527190000;9295;1274674200;9295;1357;82;6;231990000;9295;351187800;9295;38014700;9295;58058500;9295;"Dep_sec_priv";;;2021;5;9020;7332;9195;8989;632;674;9295
6292;3314;301;48;58;681879700;14012;1621905800;14012;2151;272;4;300964700;14012;445765900;14012;49041800;14012;74694700;14012;"Dep_sec_priv";;;2021;8;13609;10899;13869;13546;872;923;14012
